Station    Module    Layer   Strip
=================================
      0        0       0      311
      0        0       1      92
      0        0       1      93
      0        0       1      171
      0        0       1      182
      0        0       1      185
      0        0       1      237
      0        0       1      238
      0        0       1      256
      0        0       1      257
      0        0       1      331
      0        0       1      352
      0        0       1      353
      0        0       1      361
      0        0       1      507
      0        0       1      560
      0        0       1      561
      0        0       1      562
      0        0       1      602
      0        1       0      100
      0        1       0      101
      0        1       0      241
      0        1       0      333
      0        1       0      335
      0        1       0      415
      0        1       0      416
      0        1       0      417
      0        1       0      418
      0        1       0      573
      0        1       1      9
      0        1       1      23
      0        1       1      24
      0        1       1      118
      0        1       1      119
      0        1       1      173
      0        1       1      290
      0        1       1      335
      0        1       1      336
      0        1       1      416
      0        1       1      491
      1        0       0      272
      1        0       1      135
      1        0       1      136
      1        0       1      137
      1        0       1      138
      1        0       1      139
      1        0       1      516
      1        0       1      517
      1        0       1      518
      1        1       0      23
      1        1       0      425
      1        1       0      491
      1        1       0      492
      1        1       0      493
      1        1       0      539
      1        1       0      540
      1        1       0      621
      1        1       1      2
      1        1       1      130
      1        1       1      131
      1        1       1      154
      1        1       1      155
      1        1       1      156
      1        1       1      185
      1        1       1      206
      1        1       1      219
      1        1       1      235
      1        1       1      236
      1        1       1      242
      1        1       1      247
      1        1       1      256
      1        1       1      257
      1        1       1      554
      1        2       0      589
      1        2       1      2
      1        2       1      3
      1        2       1      4
      1        2       1      8
      1        2       1      9
      1        2       1      10
      1        2       1      11
      1        2       1      12
      1        2       1      13
      1        2       1      109
      1        2       1      110
      1        2       1      134
      1        2       1      593
      1        2       1      596
      1        2       1      597
      1        2       1      598
      1        2       1      620
      1        2       1      621
      1        2       1      622
      1        2       1      623
      1        3       0      138
      1        3       1      2
      1        3       1      11
      1        3       1      12
      1        3       1      15
      1        3       1      45
      1        3       1      46
      1        3       1      111
      1        3       1      473
      2        0       0      9
      2        0       0      108
      2        0       0      436
      2        0       0      476
      2        0       0      555
      2        0       0      556
      2        0       0      557
      2        0       0      558
      2        0       0      559
      2        0       0      560
      2        0       0      561
      2        0       1      2
      2        0       1      3
      2        0       1      4
      2        0       1      5
      2        0       1      6
      2        0       1      7
      2        0       1      8
      2        0       1      9
      2        0       1      11
      2        0       1      12
      2        0       1      15
      2        0       1      45
      2        0       1      46
      2        0       1      86
      2        0       1      87
      2        0       1      88
      2        0       1      89
      2        0       1      90
      2        0       1      91
      2        0       1      111
      2        0       1      133
      2        0       1      446
      2        0       1      599
      2        0       1      601
      2        1       0      84
      2        1       0      220
      2        1       0      534
      2        1       0      633
      2        1       1      146
      2        1       1      304
      2        1       1      346
      2        1       1      634
      2        1       1      636
      2        1       1      638
